Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSMUSG00000051951,Xkr4,0,-0.06485698164855247,1,0.0036417718011502115,0.39600172171359915,1,0.009051936186661048,2.127974891659658,0.9409935573151033,0.004274979421682909,1.1245947707586037,1,0,-0.48377759047968194,1
ENSMUSG00000025900,Rp1,0,-1.1803341990684881,1,0.01638797310517595,2.1329673158798057,0.10168767981031711,0,-1.1574273272025897,1,0.008549958843365818,0.5720537477298242,1,0.003503312915474417,-0.48377759047968194,1
ENSMUSG00000025902,Sox17,0,-0.8018225758147581,1,0.009104429502875528,1.0740736268262365,0.651351133540949,0.013577904279991572,1.7356574688808983,0.9051108940784844,0.004274979421682909,0.2765978642036533,1,0,-1.2207431846458876,0.9608491349788711
ENSMUSG00000104238,Gm37587,0,0.9351430183514475,1,0.0018208859005751058,0.8110392209924431,1,0,0.958049890217346,1,0.004274979421682909,2.4465228656459654,1,0,0.516222409520319,1
ENSMUSG00000104328,Gm37323,0.00446484282921283,2.5201055190726036,0.7925959966326297,0,-0.773923279728713,0.8393087797083422,0,0.958049890217346,1,0,0.8615603649248094,1,0.003503312915474417,2.101184910241475,0.8877406557926444
ENSMUSG00000033845,Mrpl15,0.02232421414606415,0.7831399249063988,1,0.01638797310517595,0.1329673158798057,1,0.009051936186661048,-0.395587064397354,1,0.017099917686731636,0.37613353775456737,1,0.014013251661897668,0.030795582350076955,1
ENSMUSG00000025903,Lypla1,0.07590232809661811,2.297713097736157,0.004853545127579314,0.005462657701725317,-2.3182437959525233,0.011240360516851376,0.009051936186661048,-1.041950109782654,1,0.008549958843365818,-1.1384396350751906,1,0.045543067901167425,1.2646836425243544,0.331288873482846
ENSMUSG00000033813,Tcea1,0.01785937131685132,2.5201055190726045,0.22664511355834435,0.0018208859005751058,-1.188960779007557,0.651351133540949,0.013577904279991572,1.958049890217346,0.9051108940784844,0,-0.7234021357963467,1,0,-1.068740091200838,0.9774712878409841
ENSMUSG00000033793,Atp6v1h,0.00446484282921283,0.35018051763029145,1,0.007283543602300423,0.5480048151586496,0.9958474520995535,0.004525968093330524,0.3730873894961899,1,0,-0.8754052292413972,1,0.010509938746423251,1.2938299881838704,0.7753799810969757
ENSMUSG00000025907,Rb1cc1,0.01785937131685132,-2.064856981648552,0.05049229937859813,0.13474555664255783,1.3960017217135992,0.003457533506821637,0.08599339377327996,0.15069496815974182,1,0.07694962959029236,-0.03347007547364811,1,0.028026503323795336,-1.5868710834437847,0.10325293388593919
ENSMUSG00000090031,4732440D04Rik,0,1.5201055190726036,1,0.0018208859005751058,1.811039220992443,0.651351133540949,0,1.543012390938502,1,0,1.4465228656459654,1,0,1.101184910241475,1
ENSMUSG00000087247,Alkal1,0,1.5201055190726036,1,0.0018208859005751058,1.811039220992443,0.651351133540949,0,1.543012390938502,1,0,1.4465228656459654,1,0,1.101184910241475,1
ENSMUSG00000025909,Sntg1,0.00446484282921283,0.5201055190726036,1,0,-2.358885780449869,0.24155015124076495,0.004525968093330524,0.5430123909385021,1,0.012824938265048725,1.8615603649248094,0.9702741586799108,0.010509938746423251,1.516222409520318,0.6545188920073942
ENSMUSG00000061024,Rrs1,0,-0.6498194823697085,1,0.014567087204600846,3.980964222434756,0.005625013215508209,0,-0.6269126105038101,1,0,-0.7234021357963467,1,0,-1.068740091200838,0.9378079552951114
ENSMUSG00000025912,Mybl1,0,-1.5673573221777355,0.6585226105236002,0.020029744906326162,1.811039220992443,0.08833783018162601,0.022629840466652618,1.543012390938502,0.9051108940784844,0,-1.6409399756043745,1,0,-1.986277931008865,0.45479498261465373
ENSMUSG00000045210,Vcpip1,0,-0.8018225758147581,1,0.009104429502875528,1.0740736268262365,0.651351133540949,0.018103872373322095,2.2799779851047086,0.8572119225923355,0,-0.8754052292413972,1,0,-1.2207431846458876,0.9967556833095645
ENSMUSG00000097893,1700034P13Rik,0.00892968565842566,0.19817742418524276,1,0.005462657701725317,-0.9963157010651615,0.6133673930358987,0.009051936186661048,0.22108429605114033,1,0.021374897108414545,1.4465228656459654,0.9702741586799108,0.014013251661897668,0.722673286987745,1
ENSMUSG00000025915,Sgk3,0,0.5201055190726036,1,0.0036417718011502115,1.3960017217135992,0.651351133540949,0,0.5430123909385021,1,0,0.44652286564596544,1,0.003503312915474417,1.516222409520319,0.9967556833095645
ENSMUSG00000098234,Snhg6,0,-1.5673573221777355,0.6449299410319762,0.009104429502875528,-0.18896077900755692,1,0.013577904279991572,0.7356574688808983,1,0.021374897108414545,1.4465228656459654,0.9702741586799108,0.010509938746423251,0.2938299881838704,1
ENSMUSG00000025916,Ppp1r42,0.07143748526740527,0.3596408468793584,1,0.058268348818403384,-0.05145725525762135,1,0.045259680933305235,-0.35510799504228396,1,0.06839967074692654,0.28605819345271977,1,0.05955631956306509,0.042291221187906736,1
ENSMUSG00000025917,Cops5,0.06697264243819244,-0.5567100779782264,0.968149610995936,0.10014872453163082,0.04853853471909986,1,0.12672710661325468,0.4702560485031886,1,0.10687448554207271,0.18117829912497063,1,0.09108613580233485,-0.0981238979819321,1
ENSMUSG00000056763,Cspp1,0.049113271121341125,0.8196658009315128,0.6552780664421021,0.03823860391207722,0.4124898445021685,0.7892747402142064,0.027155808559983143,-0.10906430564118974,1,0.004274979421682909,-2.168186978469243,0.5555027623201556,0.03503312915474417,0.2386884339914097,1
ENSMUSG00000067851,Arfgef1,0,-1.0648569816485525,0.9938945001474278,0.01274620130402574,1.4891111261050805,0.27535153976049,0,-1.041950109782654,1,0.008549958843365818,0.7095572714797589,1,0.007006625830948834,0.36421931607526936,1
ENSMUSG00000042501,Cpa6,0,-0.06485698164855247,1,0,-1.773923279728713,0.45256493637249406,0,-0.04195010978265401,1,0.008549958843365818,2.0314853663671215,1,0.010509938746423251,2.516222409520319,0.35392989093017724
ENSMUSG00000048960,Prex2,0,1.5201055190726036,1,0,-0.18896077900755692,1,0,1.543012390938502,1,0.004274979421682909,3.4465228656459654,0.9702741586799108,0,1.101184910241475,1
ENSMUSG00000057715,A830018L16Rik,0,0.5201055190726036,1,0.0036417718011502115,1.3960017217135992,0.651351133540949,0.004525968093330524,1.958049890217346,1,0,0.44652286564596544,1,0,0.10118491024147502,1
ENSMUSG00000101314,Gm29663,0,-0.06485698164855247,1,0,-1.773923279728713,0.45256493637249406,0,-0.04195010978265401,1,0,-0.13843963507519064,1,0.017516564577372086,4.686147410962632,0.010471582572663552
ENSMUSG00000099498,Gm29283,0.00446484282921283,0.06067390043530718,1,0.0018208859005751058,-1.6483923976448542,0.3829393172614335,0.018103872373322095,1.8649404858258647,0.9051108940784844,0.012824938265048725,1.2765978642036533,1,0.007006625830948834,0.36421931607526936,1
ENSMUSG00000005886,Ncoa2,0,-0.8018225758147581,1,0.0018208859005751058,-1.358885780449869,0.49123898263425103,0.022629840466652618,2.8060467967722964,0.42791978439090517,0.012824938265048725,1.6391679435883608,0.9931426487483975,0,-1.2207431846458876,0.9671713383631079
ENSMUSG00000025935,Tram1,0.01785937131685132,-1.6336998170064314,0.19242666013913412,0.10196961043220593,1.4344758695282351,0.006319311928313297,0.03620774474664419,-0.6964535437568875,1,0.04274979421682909,-0.4690849470636622,1,0.04904638081664184,-0.2957052423271098,1
ENSMUSG00000067813,Xkr9,0.00446484282921283,3.5201055190726036,0.5729359754689977,0,-0.18896077900755692,1,0,1.543012390938502,1,0,1.4465228656459654,1,0,1.101184910241475,1
ENSMUSG00000092083,Kcnb2,0,1.5201055190726036,1,0,-0.18896077900755692,1,0,1.543012390938502,1,0,1.4465228656459654,1,0.003503312915474417,3.101184910241475,0.6545188920073942
ENSMUSG00000025925,Terf1,0.00446484282921283,-1.5242886002858498,0.554283215581936,0.03641771801150211,1.3960017217135992,0.086485926404895,0.018103872373322095,-0.04195010978265312,1,0.017099917686731636,-0.13843963507519064,1,0.014013251661897668,-0.48377759047968105,1
ENSMUSG00000067795,4930444P10Rik,0.00892968565842566,-1.8018225758147572,0.2014344350146165,0.0327759462103519,-0.40046488420126813,0.7740138764960672,0.07694145758661891,1.2210842960511399,0.7006128326250546,0.03847481479514618,0.040530505970128416,1,0.05254969373211626,0.5465960585638374,0.9202831746387432
ENSMUSG00000043716,Rpl7,0.07143748526740527,-0.4147994527055108,1,0.08558163732702997,-0.2333548983660103,0.8424412842971579,0.13125307470658518,0.5795382669636164,1,0.094049547277024,0.015888511316103138,1,0.10860270037970693,0.2556948592970998,1
ENSMUSG00000025921,Rdh10,0.00892968565842566,2.1050680197937606,0.6218324436573739,0,-1.773923279728713,0.45256493637249406,0.004525968093330524,1.2210842960511403,1,0,-0.13843963507519064,1,0.007006625830948834,1.686147410962632,0.7753799810969757
