Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value
ENSMUSG00000051951,Xkr4,0.005532432165423159,1.4504299312467213,0.5261597424374832,0.0021108386978354082,-0.18957118367797765,1,0,-0.29126746572978046,1,0,2.044923266495281,1,0,7.193514261182159,1,0,6.90222339258716,1,0,6.76239240225544,1
ENSMUSG00000025900,Rp1,0.01244797237220211,1.4504299312467213,0.3365754122104829,0.006332516093506224,-0.18957118367797765,1,0,-1.4067446831497161,0.7527944944000498,0,0.9294460490753451,1,0,6.078037043762222,1,0,5.786746175167225,1,0,5.646915184835504,1
ENSMUSG00000025902,Sox17,0.011064864330846318,2.2984268378016717,0.11225010586306021,0.0021108386978354082,-1.0375680902329272,0.7666880603150507,0,-1.0282330598959861,0.9139485485043776,0,1.3079576723290751,1,0,6.456548667015952,1,0,6.165257798420954,1,0,6.025426808089234,1
ENSMUSG00000104238,Gm37587,0.0013831080413557897,0.12850183635935863,1,0.0021108386978354082,1.1323569112093859,0.963986900421099,0,0.7087325342702204,1,0,3.0449232664952817,1,0,8.193514261182159,1,0,7.90222339258716,1,0,7.76239240225544,1
ENSMUSG00000104328,Gm37323,0,-1.4564606643617974,0.7717133228660191,0.0021108386978354082,1.1323569112093859,0.963986900421099,0.003910472049840303,2.2936950349913774,0.7902880630716215,0,3.0449232664952817,1,0,8.193514261182159,1,0,7.90222339258716,1,0,7.76239240225544,1
ENSMUSG00000033845,Mrpl15,0.013831080413557899,-0.31895714061186276,0.9574236639848555,0.014775870884847856,-0.037568090232927176,1,0.023462832299041815,0.853122443605395,0.812500964638873,0.017291375792073887,1.0449232664952808,1,0,5.134620572128591,1,0,4.843329703533592,1,0,4.7034987132018715,1
ENSMUSG00000025903,Lypla1,0.005532432165423159,-2.637032910003618,0.0010574870792591957,0.029551741769695713,0.4542850060967476,0.9345527046061542,0.07038849689712545,2.2196944535476004,0.00457166011626107,0.017291375792073887,0.4204324015874876,1,0,4.53054924845973,1,0,4.239258379864731,1,0,4.099427389533011,1
ENSMUSG00000033813,Tcea1,0.0027662160827115795,-1.093890584977089,0.6927478050261375,0,-2.0375680902329263,0.6139991865923935,0.01564188819936121,2.2936950349913774,0.26348197150976177,0.034582751584147774,3.407493345879989,0.5938798144830028,0,6.608551760461003,1,0,6.317260891866004,1,0,6.177429901534284,1
ENSMUSG00000033793,Atp6v1h,0.005532432165423159,-0.13453256947443482,1,0.006332516093506224,0.32500198915178125,1,0.003910472049840303,0.12377003354906435,1,0.017291375792073887,2.4599607657741247,1,0,6.456548667015952,1,0,6.165257798420954,1,0,6.025426808089234,1
ENSMUSG00000025907,Rb1cc1,0.12447972372202108,1.5488336353077163,0.001313613866995129,0.04854929005021439,-0.9408920708212536,0.26397106056358294,0.01564188819936121,-2.291267465729779,0.013071051825804932,0.08645687896036942,0.32003050462964966,1,0,2.8242804515164392,1,0,2.532989582921441,1,0.755868544600939,3.4048403976373556,1
