Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000051951,Xkr4,0.0009750349344067404,-0.1816432822686771,1,0,0.1816432822686771,1
ENSMUSG00000025900,Rp1,0.0048751746720337025,-0.5966807815475219,1,0.006643377346201665,0.5966807815475219,1
ENSMUSG00000025902,Sox17,0.007800279475253923,0.988281719173635,0.6326761158433035,0.0022144591154005548,-0.988281719173635,0.6326761158433035
ENSMUSG00000104238,Gm37587,0.0039001397376269616,0.14028481261868464,1,0.0022144591154005548,-0.14028481261868464,1
ENSMUSG00000033845,Mrpl15,0.024375873360168512,0.05936481723511733,1,0.02214459115400555,-0.05936481723511733,1
ENSMUSG00000025903,Lypla1,0.008775314409660664,-2.7176961825088872,0.00007823162763279222,0.06200485523121554,2.7176961825088872,0.00007823162763279222
ENSMUSG00000033813,Tcea1,0.0009750349344067404,-3.882083000409769,0.0003805981489265784,0.02657350938480666,3.882083000409769,0.0003805981489265784
ENSMUSG00000033793,Atp6v1h,0.006825244540847183,-1.5035713771560406,0.18197866269286236,0.019930132038604994,1.5035713771560406,0.18197866269286236
ENSMUSG00000025907,Rb1cc1,0.15600558950507848,1.979348594403627,0.0003508309124658241,0.037645804961809436,-1.979348594403627,0.0003508309124658241
ENSMUSG00000090031,4732440D04Rik,0.0009750349344067404,-0.1816432822686771,1,0,0.1816432822686771,1
ENSMUSG00000033740,St18,0,-2.766605782989833,0.312496765414234,0.0044289182308011096,2.766605782989833,0.312496765414234
ENSMUSG00000051285,Pcmtd1,0.0009750349344067404,-0.1816432822686771,1,0,0.1816432822686771,1
ENSMUSG00000097797,Gm26901,0.0039001397376269616,-0.44467768810247144,1,0.0044289182308011096,0.44467768810247144,1
ENSMUSG00000025909,Sntg1,0.0029251048032202212,-1.181643282268677,0.7073876824380655,0.006643377346201665,1.181643282268677,0.707387682438063
ENSMUSG00000061024,Rrs1,0.008775314409660664,2.1402848126186846,0.31145187379434247,0,-2.1402848126186846,0.31145187379434247
ENSMUSG00000025911,Adhfe1,0.0009750349344067404,-0.1816432822686771,1,0,0.1816432822686771,1
ENSMUSG00000025912,Mybl1,0.02047573362254155,3.2777883363686193,0.014019138560783038,0,-3.2777883363686193,0.014019138560783038
ENSMUSG00000045210,Vcpip1,0.010725384278474144,0.818356717731322,0.7241942285265413,0.0044289182308011096,-0.818356717731322,0.7241942285265413
ENSMUSG00000097893,1700034P13Rik,0.010725384278474144,0.818356717731322,0.735642962204817,0.0044289182308011096,-0.818356717731322,0.735642962204817
ENSMUSG00000025915,Sgk3,0.0058502096064404424,1.6257116397889266,0.5123197747781124,0,-1.6257116397889266,0.5123197747781124
ENSMUSG00000046101,Mcmdc2,0.0019500698688134808,0.403319218452479,1,0,-0.403319218452479,1
ENSMUSG00000098234,Snhg6,0.009750349344067405,0.6928258356474633,0.8786024429643611,0.0044289182308011096,-0.6928258356474633,0.8786024429643611
ENSMUSG00000025916,Ppp1r42,0.08092789955575945,0.0012207748811330354,1,0.07972052815441998,-0.0012207748811330354,1
ENSMUSG00000025917,Cops5,0.11212901745677516,1.03248152308417,0.10166493609543248,0.05314701876961332,-1.03248152308417,0.10166493609543248
ENSMUSG00000056763,Cspp1,0.037051327507456135,0.5187964358724146,0.6783702624064455,0.024359050269406105,-0.5187964358724146,0.6783702624064455
ENSMUSG00000067851,Arfgef1,0.010725384278474144,0.818356717731322,0.7147268605663838,0.0044289182308011096,-0.818356717731322,0.7147268605663737
ENSMUSG00000042501,Cpa6,0.007800279475253923,-1.3336463757137276,0.28614652032226157,0.019930132038604994,1.3336463757137276,0.28614652032226157
ENSMUSG00000057715,A830018L16Rik,0.0039001397376269616,1.1402848126186846,0.6430754046799385,0,-1.1402848126186846,0.6430754046799385
ENSMUSG00000101314,Gm29663,0,-3.5035713771560397,0.06190721249034965,0.008857836461602219,3.5035713771560397,0.06190721249034965
ENSMUSG00000016918,Sulf1,0,-2.766605782989833,0.3142653841256963,0.0044289182308011096,2.766605782989833,0.3142653841256963
ENSMUSG00000025938,Slco5a1,0,-2.181643282268677,0.6257968169814621,0.0022144591154005548,2.181643282268677,0.6257968169814621
ENSMUSG00000099498,Gm29283,0.0048751746720337025,-0.18164328226867799,1,0.0044289182308011096,0.18164328226867799,1
ENSMUSG00000005886,Ncoa2,0.02047573362254155,0.9558602414812567,0.470196586380343,0.008857836461602219,-0.9558602414812567,0.470196586380343
ENSMUSG00000025935,Tram1,0.06337727073643813,1.4033192184524785,0.054068746185520246,0.02214459115400555,-1.4033192184524785,0.054068746185520246
ENSMUSG00000025932,Eya1,0.0009750349344067404,-0.1816432822686771,1,0,0.1816432822686771,1
ENSMUSG00000092083,Kcnb2,0.0009750349344067404,-2.5035713771560397,0.15915777756680638,0.008857836461602219,2.5035713771560397,0.15915777756680638
ENSMUSG00000025925,Terf1,0.01950069868813481,0.6257116397889266,0.7732606114164817,0.011072295577002775,-0.6257116397889266,0.7732606114164817
ENSMUSG00000067795,4930444P10Rik,0.054601956326777466,1.6512467318960642,0.03023248382435956,0.015501213807803884,-1.6512467318960642,0.03023248382435956
ENSMUSG00000043716,Rpl7,0.1326047510793167,0.3928268446348362,0.6532425981051596,0.09965066019302497,-0.3928268446348362,0.6532425981051596
ENSMUSG00000025921,Rdh10,0,-3.988998204326281,0.01114232656474827,0.01328675469240333,3.988998204326281,0.01114232656474827
ENSMUSG00000089982,Gm7568,0.0009750349344067404,-4.088533877877196,0.00013638361046410772,0.03100242761560777,4.088533877877196,0.00013638361046410772
ENSMUSG00000025939,Ube2w,0.01657559388491459,-1.7666057829898332,0.014019138560783038,0.057575937000414426,1.7666057829898332,0.014019138560783038
ENSMUSG00000079658,Eloc,0.10237866811270775,-0.6034699472101606,0.3145327234860857,0.15501213807803885,0.6034699472101606,0.3145327234860857
ENSMUSG00000097744,D030040B21Rik,0.0019500698688134808,-1.181643282268677,0.9036266490642667,0.0044289182308011096,1.181643282268677,0.9036266490642667
ENSMUSG00000025940,Tmem70,0.007800279475253923,-0.011718280826364946,1,0.006643377346201665,0.011718280826364946,1
ENSMUSG00000101640,Gm28376,0.006825244540847183,1.818356717731322,0.36305284820870337,0,-1.818356717731322,0.36305284820870337
ENSMUSG00000042686,Jph1,0.0009750349344067404,-0.1816432822686771,1,0,0.1816432822686771,1
ENSMUSG00000100110,Gm28783,0,-2.181643282268677,0.6257968169814621,0.0022144591154005548,2.181643282268677,0.6257968169814621
ENSMUSG00000025777,Gdap1,0.0009750349344067404,-1.7666057829898332,0.5493717372052014,0.0044289182308011096,1.7666057829898332,0.5493717372052014
ENSMUSG00000025776,Crispld1,0,-2.181643282268677,0.6257968169814621,0.0022144591154005548,2.181643282268677,0.6257968169814621
ENSMUSG00000099895,Gm28153,0.0029251048032202212,0.8183567177313229,0.8786024429643611,0,-0.8183567177313229,0.8786024429643611
ENSMUSG00000109887,Gm28756,0.0009750349344067404,-0.1816432822686771,1,0,0.1816432822686771,1
ENSMUSG00000025774,Crisp4,0,-2.181643282268677,0.6257968169814621,0.0022144591154005548,2.181643282268677,0.6257968169814621
ENSMUSG00000100538,Gm28340,0,-3.766605782989833,0.05153856387359927,0.011072295577002775,3.766605782989833,0.05153856387359927
ENSMUSG00000043760,Pkhd1,0,-2.181643282268677,0.6257968169814621,0.0022144591154005548,2.181643282268677,0.6257968169814621
ENSMUSG00000089914,4930486I03Rik,0.0019500698688134808,-2.9186088764348836,0.016761077675364746,0.019930132038604994,2.9186088764348836,0.016761077675364746
ENSMUSG00000041859,Mcm3,0.0039001397376269616,1.1402848126186846,0.6430754046799385,0,-1.1402848126186846,0.6430754046799385
ENSMUSG00000025931,Paqr8,0.014625524016101106,0.818356717731322,0.6469094091684137,0.006643377346201665,-0.818356717731322,0.6469094091684137
ENSMUSG00000041809,Efhc1,0.1228544017352493,0.8528450941166135,0.19971539251688625,0.06643377346201665,-0.8528450941166135,0.19971539251688625
ENSMUSG00000041779,Tram2,0.0009750349344067404,-1.181643282268677,0.8472318193429577,0.0022144591154005548,1.181643282268677,0.8472318193429577
ENSMUSG00000025934,Gsta3,0.0019500698688134808,0.403319218452479,1,0,-0.403319218452479,1
ENSMUSG00000028033,Kcnq5,0.0009750349344067404,-0.1816432822686771,1,0,0.1816432822686771,1
ENSMUSG00000101227,Gm29506,0.0029251048032202212,0.8183567177313229,0.8786024429643611,0,-0.8183567177313229,0.8786024429643611
ENSMUSG00000073730,4933415F23Rik,0.15503055457067172,0.35892509909402515,0.7073876824380655,0.11958079223162997,-0.35892509909402515,0.707387682438063
ENSMUSG00000026156,B3gat2,0,-2.181643282268677,0.6257968169814621,0.0022144591154005548,2.181643282268677,0.6257968169814621
ENSMUSG00000026155,Smap1,0.06727741047406509,-1.9592508609322297,0.0000028380129112606953,0.263520634732666,1.9592508609322297,0.0000028380129112606953
ENSMUSG00000026154,Sdhaf4,0.06727741047406509,3.3626772339551327,0.000038714458270581485,0.0044289182308011096,-3.3626772339551327,0.000038714458270581485
ENSMUSG00000026153,Fam135a,0.02340083842576177,0.8772504067848912,0.529636973619591,0.011072295577002775,-0.8772504067848912,0.529636973619591
ENSMUSG00000026147,Col9a1,0.0019500698688134808,-0.596680781547521,1,0.0022144591154005548,0.596680781547521,1
ENSMUSG00000026141,Col19a1,0.0048751746720337025,1.403319218452478,0.6469094091684137,0,-1.403319218452478,0.6469094091684137
ENSMUSG00000073725,Lmbrd1,0.02242580349135503,-0.29712049968861365,0.9429797904197815,0.02657350938480666,0.29712049968861365,0.9429797904197815
ENSMUSG00000099392,Gm29414,0.0039001397376269616,-0.8597151873813154,0.8432554013121377,0.006643377346201665,0.8597151873813154,0.8432554013121377
ENSMUSG00000033569,Adgrb3,0.0029251048032202212,0.8183567177313229,0.8814945170171279,0,-0.8183567177313229,0.8814945170171217
ENSMUSG00000073722,4931408C20Rik,0.0009750349344067404,-2.181643282268677,0.3119632336128858,0.006643377346201665,2.181643282268677,0.3119632336128858
ENSMUSG00000048411,Gm597,0.0029251048032202212,-2.5035713771560397,0.02618524497182276,0.019930132038604994,2.5035713771560397,0.02618524497182276
ENSMUSG00000048874,Phf3,0.0048751746720337025,0.4033192184524781,0.9943354865791243,0.0022144591154005548,-0.4033192184524781,0.9943354865791243
ENSMUSG00000026064,Ptp4a1,0,-2.181643282268677,0.6257968169814621,0.0022144591154005548,2.181643282268677,0.6257968169814621
ENSMUSG00000086727,4931428L18Rik,0.04485160698271006,1.2030205679666475,0.16491858904430223,0.017715672923204438,-1.2030205679666475,0.16491858904430223
ENSMUSG00000100910,Gm29128,0,-2.181643282268677,0.6257968169814621,0.0022144591154005548,2.181643282268677,0.6257968169814621
ENSMUSG00000026063,Pih1d3,0.0048751746720337025,1.403319218452478,0.6469094091684137,0,-1.403319218452478,0.6469094091684137
ENSMUSG00000026058,Khdrbs2,0.0029251048032202212,0.8183567177313229,0.8786024429643611,0,-0.8183567177313229,0.8786024429643611
ENSMUSG00000091318,Gm5415,0.0029251048032202212,-0.1816432822686771,1,0.0022144591154005548,0.1816432822686771,1
