Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSMUSG00000051951,Xkr4,0.0014152246385311928,1.1248788290454357,0.8310018649075374,0,-0.11204905775156604,1,0,1.2789693658176065,1,0,8.55789593691184,1
ENSMUSG00000025900,Rp1,0.007076123192655964,0.7098413297665909,0.8331834324457873,0.003861661650292466,-0.33444147908801547,0.9493638587987124,0.003972848659960272,0.27896936581760734,1,0,6.387970935469529,1
ENSMUSG00000025902,Sox17,0.0042456739155935785,-0.6824760930121698,0.8529297068098439,0.011584984950877397,1.695305864306036,0.25678039669776764,0,-1.0429587290697553,0.9025443423747411,0,6.235967842024479,1
ENSMUSG00000104238,Gm37587,0.0028304492770623857,-0.29015867023340913,1,0.003861661650292466,0.47291344296958826,1,0.003972848659960272,0.9570412709302447,1,0,6.972933436190685,1
ENSMUSG00000033845,Mrpl15,0.016982695662374314,-0.7596439535346295,0.598306095656785,0.028962462377193497,0.4956335194696724,0.7072557967110293,0.03178278927968218,0.6415394452023149,0.914452323589926,0,4.387970935469529,1
ENSMUSG00000025903,Lypla1,0.018397920300905507,-0.7116224386716858,0.6463315435098279,0.005792492475438699,-2.241332074696534,0.013890151545155013,0.08342982185916573,2.6509381432045656,0.0003449413031827557,0,4.309968423468256,1
ENSMUSG00000033813,Tcea1,0.008491347831187157,-0.06776624889696148,1,0.001930830825146233,-1.8124887758926587,0.18346902688479444,0.023837091959761636,2.086324287875212,0.14239730836406816,0,5.750541014854237,1
ENSMUSG00000033793,Atp6v1h,0.005660898554124771,-1.2536327942082952,0.43077204816107156,0.011584984950877397,0.2358742456687386,1,0.023837091959761636,1.6268926692379146,0.28552333449978096,0,5.470433095661502,1
ENSMUSG00000025907,Rb1cc1,0.10614184788983946,-0.3136941846941985,0.8310018649075374,0.18922142086433083,1.1953794674406795,0.006446194499077525,0.01589139463984109,-2.8420460351437584,0.0008331476181228114,0,2.0821625059454436,1
ENSMUSG00000090031,4732440D04Rik,0.0014152246385311928,1.1248788290454357,0.8310018649075374,0,-0.11204905775156604,1,0,1.2789693658176065,1,0,8.55789593691184,1
