Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSMUSG00000051951,Xkr4,0.0015724658703430404,1.4030617159441743,0.8054496104603824,0,0.11728998746279018,1,0,1.2846838176947246,1,0,2.4413360336482954,1,0,8.55789593691184,1
ENSMUSG00000025900,Rp1,0.007862329351715202,0.9880242166653295,0.7693121059295688,0.002147265681067891,-0.8827100125372098,0.851307924255947,0.00398597448550022,0.2846838176947246,1,0.008084738434932988,1.4413360336482945,1,0,6.387970935469529,1
ENSMUSG00000025902,Sox17,0.0031449317406860807,-1.0119757833346705,0.7847266824636275,0.015030859767475237,2.532327486741634,0.06471489363850558,0,-1.037244277192638,0.9035479442385519,0,0.11940793876093281,1,0,6.235967842024479,1
ENSMUSG00000104238,Gm37587,0.0031449317406860807,-0.011975783334670531,1,0.002147265681067891,-0.20463810742457245,1,0.00398597448550022,0.962755722807362,1,0.008084738434932988,2.119407938760932,0.9024402670919254,0,6.972933436190685,1
ENSMUSG00000033845,Mrpl15,0.018869590444116485,-0.48146106663589006,0.8421861746235926,0.008589062724271564,-1.5607819176498472,0.14525371430891895,0.03188779588400176,0.6472538970794322,0.91575023977136,0.08893212278426288,2.382442344594726,0.036310289697694224,0,4.387970935469529,1
ENSMUSG00000025903,Lypla1,0.020442056314459525,-0.43343955177294635,0.8673325086636012,0,-4.130637525980795,0.00048560881812330966,0.08370546419550462,2.656652595081682,0.00033773209958853895,0.024254215304798966,0.3120530167033282,1,0,4.309968423468256,1
ENSMUSG00000033813,Tcea1,0.011007261092401284,0.5957067938865688,0.9281903112037851,0,-2.6900649345948136,0.11884978274067708,0.0199298724275011,1.6997213169735677,0.3217351669181719,0.008084738434932988,0.7408963155072028,1,0,5.750541014854237,1
ENSMUSG00000033793,Atp6v1h,0.0062898634813721615,-0.9754499073095566,0.6644705100261531,0.008589062724271564,-0.26122163579093893,1,0.023915846913001318,1.632607121115031,0.2830832102367316,0.016169476869865976,1.1194079387609328,0.9869242089848316,0,5.470433095661502,1
ENSMUSG00000025907,Rb1cc1,0.09120302047989634,-0.6211858303025037,0.3934865597976794,0.1954011769771781,1.1979084476710744,0.010463623452104087,0.01594389794200088,-2.8363315832666416,0.0008301545227964504,0.19403372243839173,0.8184056827281179,0.5256602863132848,0,2.0821625059454436,1
ENSMUSG00000090031,4732440D04Rik,0.0015724658703430404,1.4030617159441743,0.8054496104603824,0,0.11728998746279018,1,0,1.2846838176947246,1,0,2.4413360336482954,1,0,8.55789593691184,1
ENSMUSG00000033740,St18,0.0031449317406860807,1.9880242166653295,0.5718734808062923,0,-0.4676725132583659,1,0,0.6997213169735685,1,0,1.8563735329271394,1,0,7.972933436190685,1
