Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSMUSG00000051951,Xkr4,0.001809473124002129,1.7413205987298461,0.7682089920214935,0,0.05640435342010619,1,0,1.3176950133904501,1,0,1.70368916493329,1,0,7.801618842918138,1,0,8.55789593691184,1
ENSMUSG00000025900,Rp1,0.007237892496008516,0.7413205987298461,0.9179318629213677,0.004172803141875307,-0.16598806791634235,1,0.004062832685163058,0.31769501339045014,1,0.005106220304734858,0.7036891649332899,1,0,5.631693841475826,1,0,6.387970935469529,1
ENSMUSG00000025902,Sox17,0.003618946248004258,-0.6737169005489978,0.9181075433105071,0.014604810996563574,2.47144185269895,0.09446736316531754,0,-1.0042330814969116,0.9095381284669586,0,-0.6182389299540727,1,0,5.479690748030777,1,0,6.235967842024479,1
ENSMUSG00000104238,Gm37587,0.003618946248004258,0.3262830994510022,1,0.0020864015709376534,-0.26552374146725644,1,0.004062832685163058,0.9957669185030884,1,0.005106220304734858,1.3817610700459282,0.9676768721148867,0,6.216656342196982,1,0,6.972933436190685,1
ENSMUSG00000033845,Mrpl15,0.018094731240021287,-0.4996875007739492,0.859578660963161,0.01251840942562592,-1.0431313201308088,0.46033992628245596,0.032502661481304464,0.6802650927751586,0.8224963959563181,0.05616842335208344,1.6447954758797207,0.1168376502032571,0,3.631693841475826,1,0,4.387970935469529,1
ENSMUSG00000025903,Lypla1,0.025332623736029805,0.06324869361720786,1,0,-4.191523160023479,0.0006784473915876394,0.08125665370326116,2.540087434726898,0.000795681735408715,0.015318660914204574,-0.42559385201167643,1,0,3.553691329474553,1,0,4.309968423468256,1
ENSMUSG00000033813,Tcea1,0.012666311868014903,0.9339656766722415,0.7682089920214935,0,-2.7509505686374984,0.1560767140844877,0.02031416342581529,1.732732512669294,0.3138589191290791,0.005106220304734858,0.003249446792197297,1,0,4.994263920860535,1,0,5.750541014854237,1
ENSMUSG00000033793,Atp6v1h,0.007237892496008516,-0.6371910245238839,0.885515171375302,0.008345606283750613,-0.3221072698336229,1,0.02437699611097835,1.6656183168107566,0.26891468364396187,0.010212440609469716,0.3817610700459273,1,0,4.714156001667799,1,0,5.470433095661502,1
ENSMUSG00000025907,Rb1cc1,0.07780734433209154,-0.8760633796836879,0.18010424060282235,0.20655375552282768,1.3964797950177283,0.0025264259779581347,0.016251330740652232,-2.8033203875709165,0.0009995585461068902,0.1582928294467806,0.5040168200969251,0.69300972507249,0,1.325885411951741,1,0,2.0821625059454436,1
ENSMUSG00000090031,4732440D04Rik,0.001809473124002129,1.7413205987298461,0.7682089920214935,0,0.05640435342010619,1,0,1.3176950133904501,1,0,1.70368916493329,1,0,7.801618842918138,1,0,8.55789593691184,1
