Feature,Normalized.Dispersion
ENSMUSG00000051951,NaN
ENSMUSG00000025900,-1.321418210806088
ENSMUSG00000025902,-2.492041487377033
ENSMUSG00000104238,1.5933653808717552
ENSMUSG00000033845,0.5021315220116129
ENSMUSG00000025903,2.576554781176156
ENSMUSG00000033813,-1.0189436565749275
ENSMUSG00000033793,-0.8137120091413117
ENSMUSG00000025907,-1.5371231925374973
ENSMUSG00000090031,NaN
ENSMUSG00000033740,NaN
ENSMUSG00000051285,NaN
ENSMUSG00000097797,-1.557943703696375
ENSMUSG00000025909,-0.6241283534084912
ENSMUSG00000061024,1.672251925764821
ENSMUSG00000025911,NaN
ENSMUSG00000025912,-0.817637992389412
ENSMUSG00000045210,0.7422695846207104
ENSMUSG00000097893,1.1307574517143257
ENSMUSG00000025915,-1.936852197299604
ENSMUSG00000046101,NaN
ENSMUSG00000098234,0.46501901516618105
ENSMUSG00000025916,0.48228509274108733
ENSMUSG00000025917,-0.7012007227647722
ENSMUSG00000056763,-1.4330543764291868
ENSMUSG00000067851,-0.20477041302126284
ENSMUSG00000042501,-1.3413207505484186
ENSMUSG00000057715,-0.6848646380274064
ENSMUSG00000101314,-0.6880097897129657
ENSMUSG00000016918,NaN
ENSMUSG00000025938,NaN
ENSMUSG00000099498,-1.122729676134573
ENSMUSG00000005886,-0.3401134883561699
ENSMUSG00000025935,-0.5863149102328408
ENSMUSG00000025932,NaN
ENSMUSG00000092083,0.3755855250868739
ENSMUSG00000025925,-0.853214262626232
ENSMUSG00000067795,-1.7482134594565513
ENSMUSG00000043716,-0.28317586550008794
ENSMUSG00000025921,-1.0711924289082522
ENSMUSG00000089982,1.1138276474681972
ENSMUSG00000025939,3.3407399584241886
ENSMUSG00000079658,0.45306632487942977
ENSMUSG00000097744,-0.4453348737922257
ENSMUSG00000025940,-0.5001130018299654
ENSMUSG00000101640,-0.38158676784981027
ENSMUSG00000042686,NaN
ENSMUSG00000100110,NaN
ENSMUSG00000025777,0.4932574328019679
ENSMUSG00000025776,NaN
ENSMUSG00000099895,1.1965650619855033
ENSMUSG00000109887,NaN
ENSMUSG00000025774,NaN
ENSMUSG00000100538,2.2496613059134116
ENSMUSG00000043760,NaN
ENSMUSG00000089914,1.3895638076726622
ENSMUSG00000041859,0.04696934834354609
ENSMUSG00000025931,0.050510553013448214
ENSMUSG00000041809,-1.256256174333909
ENSMUSG00000041779,NaN
ENSMUSG00000025934,NaN
ENSMUSG00000028033,NaN
ENSMUSG00000101227,0.4896271589270957
ENSMUSG00000073730,-1.4536162800761874
ENSMUSG00000026156,NaN
ENSMUSG00000026155,0.9994939062394191
ENSMUSG00000026154,-1.428536446721131
ENSMUSG00000026153,-0.8399581668996239
ENSMUSG00000026147,-1.057858421758036
ENSMUSG00000026141,-0.733398367380181
ENSMUSG00000073725,0.5260330979962524
ENSMUSG00000099392,3.1845403228120674
ENSMUSG00000033569,1.3855190083119946
ENSMUSG00000073722,-0.42897767202299697
ENSMUSG00000048411,0.021542360878202993
ENSMUSG00000048874,1.072794009863543
ENSMUSG00000026064,NaN
ENSMUSG00000086727,-1.5053466314468567
ENSMUSG00000100910,NaN
ENSMUSG00000026063,-0.2703173277690785
ENSMUSG00000026058,-4.267959679957133
ENSMUSG00000091318,0.7763058902742336
ENSMUSG00000026134,-0.02962184034316474
ENSMUSG00000004768,-1.4523714095492364
ENSMUSG00000042197,-0.6234202980881933
ENSMUSG00000042182,NaN
ENSMUSG00000026131,-0.7283010059489528
ENSMUSG00000042111,NaN
ENSMUSG00000026127,0.7715090216054468
ENSMUSG00000101223,-0.6933797191143007
