Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000051951,Xkr4,0.0014275680957615724,1.148768283191739,0.8335499027314139,0,-0.14575848353505272,1,0,1.2846838176947246,1
ENSMUSG00000025900,Rp1,0.007137840478807863,0.7337307839128941,0.8403252662267426,0.003803654152237701,-0.3681509048714995,0.9369472645986507,0.00398597448550022,0.2846838176947246,1
ENSMUSG00000025902,Sox17,0.004282704287284718,-0.6585866388658665,0.8626114740357395,0.011410962456713102,1.661596438522552,0.2589356760046028,0,-1.037244277192638,0.9035479442385519
ENSMUSG00000104238,Gm37587,0.002855136191523145,-0.26626921608710585,1,0.003803654152237701,0.43920401718610425,1,0.00398597448550022,0.962755722807362,1
ENSMUSG00000033845,Mrpl15,0.01713081714913887,-0.7357544993883254,0.5995504348140447,0.028527406141782754,0.46192409368618836,0.6968424873600411,0.03188779588400176,0.6472538970794322,0.91575023977136
ENSMUSG00000025903,Lypla1,0.018558385244900444,-0.6877329845253826,0.6400623725933459,0.005705481228356551,-2.275041500480018,0.01341683326788471,0.08370546419550462,2.656652595081682,0.00033773209958853895
ENSMUSG00000033813,Tcea1,0.009992976670331008,0.34141336113413345,1,0.0019018270761188504,-1.8461982016761445,0.1788151933481939,0.0199298724275011,1.6997213169735677,0.3217351669181719
ENSMUSG00000033793,Atp6v1h,0.00571027238304629,-1.229743340061991,0.43458479953216045,0.011410962456713102,0.2021648198852546,1,0.023915846913001318,1.632607121115031,0.2830832102367316
ENSMUSG00000025907,Rb1cc1,0.10564003908635637,-0.32285274445347323,0.8335499027314139,0.1882808805357662,1.1943169580625699,0.006700018795165719,0.01594389794200088,-2.8363315832666416,0.0008301545227964504
ENSMUSG00000090031,4732440D04Rik,0.0014275680957615724,1.148768283191739,0.8335499027314139,0,-0.14575848353505272,1,0,1.2846838176947246,1
ENSMUSG00000033740,St18,0.002855136191523145,1.733730783912895,0.6400623725933459,0,-0.7307209842562088,0.7864071240183014,0,0.6997213169735685,1
ENSMUSG00000051285,Pcmtd1,0,-0.851231716808261,1,0.0019018270761188504,1.8542415164649473,0.5846317756304877,0,1.2846838176947246,1
ENSMUSG00000097797,Gm26901,0.002855136191523145,-0.5881973109744685,0.9911854267960043,0.003803654152237701,0.11727592229874251,1,0.00797194897100044,1.547718223528518,0.7512798473782643
ENSMUSG00000025909,Sntg1,0.008565408574569435,2.9561232052493427,0.11114709615443194,0,-1.9531134055926564,0.293692126272665,0,-0.52267110436288,1
ENSMUSG00000061024,Rrs1,0.002855136191523145,-1.2662692160871059,0.6400623725933459,0.013312789532831952,2.269279015743792,0.08841208354905311,0,-1.037244277192638,0.9118995606322101
